"Item Type","Name","File Path","Linked Workflow","Status","Category","Recommended Action","Priority","Notes"
"Route","/api/task-lineages/[id]","app/api/task-lineages/[id]/route.ts","WF-03b","ORPHAN","MissingWiring","Keep for future Table Job wizard","P3","Only /schema is wired"
"Route","/api/internal/ai-metrics/agreement","app/api/internal/ai-metrics/agreement/route.ts","None","KEEP","InternalOnly","Keep for admin metrics","P3","Admin use only"
"Route","/api/quests/[id]","app/api/quests/[id]/route.ts","Future","FLAGGED","FeatureFlagged","Enable when AI Quest ready","P3","Flag: NEXT_PUBLIC_QUEST_UI"
"Route","/api/quests/[id]/generate","app/api/quests/[id]/generate/route.ts","Future","FLAGGED","FeatureFlagged","Enable when ready","P3","Flag: NEXT_PUBLIC_QUEST_UI"
"Route","/api/quests/context","app/api/quests/context/route.ts","Future","FLAGGED","FeatureFlagged","Enable when ready","P3","Flag: QUEST_AI_INTERPRETER"
"Route","/api/quests/interpret","app/api/quests/interpret/route.ts","Future","FLAGGED","FeatureFlagged","Enable when ready","P3","Flag: QUEST_AI_INTERPRETER"
"Route","/api/quests/standing","app/api/quests/standing/route.ts","Future","FLAGGED","FeatureFlagged","Enable when ready","P3","Flag: QUEST_STANDING"
"Route","/api/task-instances/[id]/attachments","app/api/task-instances/[id]/attachments/route.ts","WF-04e (removed)","DELETE","Redundant","Delete - use Evidence Collection","P3","Redundant with WF-06a"
"Route","/api/task-instances/[id]/labels/[labelId]","app/api/task-instances/[id]/labels/[labelId]/route.ts","Future","DEFER","Future","Keep for customer request","P3","Labels edit/delete"
"Route","/api/task-instances/[id]/request/dataset/preview","app/api/task-instances/[id]/request/dataset/preview/route.ts","WF-05b","DELETE","NotNeeded","Delete - preview flow exists","P3","Per-recipient preview works"
"Route","/api/contacts/sync","app/api/contacts/sync/route.ts","WF-07a","DELETE","NotNeeded","Delete - not needed","P3","No use case"
"Route","/api/requests/detail","app/api/requests/detail/route.ts","WF-05e","VERIFY","PossibleDuplicate","Check if list endpoint","P3","May be request list API"
"Route","/api/attachments/[id]","app/api/attachments/[id]/route.ts","WF-04e","VERIFY","NeedsVerification","Check if used for downloads","P3","May be URL-generated"
"Route","/api/attachments/download/[id]","app/api/attachments/download/[id]/route.ts","WF-04e","VERIFY","NeedsVerification","Check if used for downloads","P3","May be URL-generated"
