"Legacy ID","New Sub-Workflow ID(s)","Sub-Workflow Name(s)","Parent Workflow","Mapping Type","Notes"
"WF-01","WF-01a","Sign Up / Registration","PWF-01: Authentication & Onboarding","Direct","1:1 mapping"
"WF-02","WF-01b","Sign In / Sign Out","PWF-01: Authentication & Onboarding","Direct","1:1 mapping"
"WF-03","WF-01c","Password Reset","PWF-01: Authentication & Onboarding","Direct","1:1 mapping"
"WF-04","WF-02a, WF-02b, WF-02g, WF-02h","Create Board, Edit Board Settings, Archive/Restore Board, Delete Board","PWF-02: Board Management","Split","Single workflow split into CRUD operations"
"WF-05","WF-02c","View Board with Jobs","PWF-02: Board Management","Direct","1:1 mapping"
"WF-06","WF-03a","Create Generic Job","PWF-03: Job Lifecycle","Direct","1:1 mapping"
"WF-07","WF-05a, WF-05b, WF-05c","Send Email Request, Configure Request Personalization, Configure Request Reminders","PWF-05: Requests & Communication","Split","Send flow split into distinct JTBDs"
"WF-08","WF-05e","Track Request Status","PWF-05: Requests & Communication","Direct","1:1 mapping"
"WF-09","REMOVED","Create Table Job (REMOVED)","PWF-03: Job Lifecycle","Removed","Feature removed - simplified job model"
"WF-10","REMOVED","Import / Edit Table Data (REMOVED)","PWF-03: Job Lifecycle","Removed","Feature removed - simplified job model"
"WF-11","REMOVED","Compare Periods / Variance (REMOVED)","PWF-03: Job Lifecycle","Removed","Feature removed - simplified job model"
"WF-12","REMOVED","Create Reconciliation Job (REMOVED)","PWF-03: Job Lifecycle","Removed","Feature removed - simplified job model"
"WF-13","WF-06a, WF-06b, WF-06c, WF-06d","Upload Evidence, Review/Approve Evidence, Bulk Evidence Actions, Export Evidence","PWF-06: Evidence Collection","Split","Evidence collection split into distinct actions"
"WF-14","WF-05h","Reply Review","PWF-05: Requests & Communication","Direct","1:1 mapping"
"WF-15","WF-07a, WF-07b, WF-07c","Create/Edit Contact, Import Contacts, Group Contacts","PWF-07: Contact Management","Split","Contact management split into distinct operations"
"WF-16","WF-09a","Email Sync - Gmail/Microsoft","PWF-09: System Automation","Direct","1:1 mapping"
"WF-17","WF-09b","Message Classification","PWF-09: System Automation","Direct","1:1 mapping"
"WF-18","WF-09c","Reminder Sending","PWF-09: System Automation","Direct","1:1 mapping"
"WF-19","WF-09d","Email Queue Processing","PWF-09: System Automation","Direct","1:1 mapping"
"WF-20","WF-08a, WF-08b","Connect Email Account - Gmail, Connect Email Account - Microsoft","PWF-08: Email Account Management","Split","OAuth flow split by provider"
